Month,Year,GP_Index_No,pluno,Item_Name,Net_Qty,O_B,Closing_Stock
November,2023,I/090016T,90016,TULIPS TOOTH PICKS 250S JAR,2,9,7
November,2023,I/091151P,91151,WAIST AND TUMMY GEL VLCC 200 GM,2,34,32
November,2023,I/091154E,91154,EMAMI VASOCARE PETROLEUM JELLY 25GM,155,176,213
November,2023,II/005020S,5020,EXO SAFAI LARGE,123,159,36
November,2023,II/005022T,5022,EXO SAFAI STEEL,180,627,807
November,2023,II/005050V,5050,VIM BAR MULTY PACK 200G*3,62,78,16
November,2023,II/005051P,5051,PRIL UNTENSIL LIQUID 225ML,21,79,58
November,2023,II/005053E,5053,EXO DISH WASH ROUND BAR 500G,123,260,137
November,2023,II/005054P,5054,PRIL LIQUID 425ML,17,20,3
November,2023,II/005058V,5058,VIM DOUBLE POWER GEL LEMON 750ML,3,136,133
November,2023,II/005064E,5064,EXO DISH WASH BAR 700G ROUND,14,73,59
November,2023,II/005065K,5065,DETTOL KITCHE DISH & SLAB GEL,9,73,64
November,2023,II/005067D,5067,DETTOL KITC DISH SLAB GEL 400ML,14,263,249
November,2023,II/005069D,5069,DETTOL DISH  SLAB GEL LEMON ML,16,136,120
November,2023,II/005073E,5073,EXO SUPER GEL GINGER D/WASH,2,144,142
November,2023,II/008032D,8032,ROOM FRESHNER ODONIL 160G,17,18,25
November,2023,II/013000K,13000,GODREJ AIR CLICK COOL BLUE10GM,8,9,1
November,2023,II/013013A,13013,AMBIPUR CAR FRESHNER AROMATHERAPY,2,46,44
November,2023,II/013037A,13037,AMBIPUR CAR FRESHNER STARTER,1,36,35
November,2023,II/013038A,13038,AMBIPUR CAR FRESHNER REFILLS,1,38,37
November,2023,II/013043P,13043,AIR FRESHNER LAVENDER 50GM,60,124,208
November,2023,II/013046O,13046,ROOM FRESHING GEL 75G  ODONIL,34,52,90
November,2023,II/013051K,13051,ODONIL CAR FRESHN ER,7,15,23
November,2023,II/013069A,13069,SHYMAL DHOOP STICK 20 STICKS,219,1305,1806
